"@timestamp","data.win.system.eventID","agent.name","data.win.eventdata.authenticationPackageName","data.win.system.processID","data.win.system.systemTime","data.win.eventdata.logonType","data.win.eventdata.logonProcessName","data.win.eventdata.targetUserName"
"Apr 17, 2025 @ 19:36:41.844",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:49.3343963Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.838",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:37:19.4373001Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.827",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:26:30.3015840Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.813",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:25:49.2185837Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.799",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:18:27.2576426Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.791",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:37:18.7326557Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.784",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:16:26.7664790Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.776",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:13:46.2988893Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.760",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:05:44.1256154Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.744",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:02:28.9075348Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.729",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:58:22.5384787Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.713",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:56:22.3276258Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.699",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:50:50.3264478Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.683",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:50:35.9020984Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.667",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:50:26.9855120Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.652",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:50:23.0121932Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.651",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:37:18.0177131Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.637",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:50:21.1076624Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.621",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:50:20.9173605Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.590",4624,"LAB3-11",Kerberos,1032,"2025-04-17T12:48:43.7307678Z",3,Kerberos,"LAB3-11$"
"Apr 17, 2025 @ 19:36:41.560",4624,"LAB3-11",Kerberos,1032,"2025-04-17T12:48:43.5634845Z",3,Kerberos,"LAB3-11$"
"Apr 17, 2025 @ 19:36:41.544",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:45:39.3773962Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.527",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:36:16.8365065Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.519",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:16:30.1924205Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.504",4624,"LAB3-11",Negotiate,1032,"2025-04-17T12:16:20.9756501Z",5,Advapi,SYSTEM
